Name,Tags,Created time
finest,,"October 13, 2022 9:13 AM"
parking - verb,,"October 5, 2022 8:19 PM"
"Parking lot - parking lot (https://en.wikipedia.org/wiki/American_English) or car park (https://en.wikipedia.org/wiki/British_English), also known as a car lot",,"October 5, 2022 8:18 PM"
acquaintance,,"October 4, 2022 8:45 PM"
Sparks,,"September 22, 2022 6:38 AM"
debris,,"September 22, 2022 6:38 AM"
sued,,"September 22, 2022 6:38 AM"
skirting,,"September 22, 2022 7:02 AM"
snoop,,"September 22, 2022 7:03 AM"
tip-toed,,"September 22, 2022 7:04 AM"
Coup d'état,,"September 29, 2022 11:36 AM"
fuck around,,"September 29, 2022 11:37 AM"
Flaming,,"October 2, 2022 8:42 PM"
commence,,"October 4, 2022 9:05 PM"
agreeable,,"October 4, 2022 9:06 PM"
forth,,"October 4, 2022 9:06 PM"
outrageous,,"October 4, 2022 9:14 PM"
wretched,,"October 4, 2022 9:16 PM"
grievances,,"October 4, 2022 9:26 PM"
onset,,"October 4, 2022 9:29 PM"
sow,,"October 4, 2022 9:30 PM"
strove,,"October 4, 2022 9:31 PM"
pledged,,"October 4, 2022 9:31 PM"
stirred,,"October 4, 2022 9:32 PM"
reservoirs,,"October 13, 2022 7:53 AM"
burgeoning,,"October 13, 2022 7:54 AM"
benign,,"October 18, 2022 9:40 AM"
STAND FOR,,"November 15, 2022 6:37 PM"
one-night stand,,"December 19, 2022 8:03 PM"
whenever,,"December 21, 2022 1:00 PM"
be well up in/on something,,"December 23, 2022 2:12 PM"
owe,,"December 23, 2022 5:02 PM"
turbocharger,,"December 23, 2022 5:30 PM"
fell,,"December 23, 2022 9:32 PM"
burglary,,"December 27, 2022 7:37 AM"
Felony,,"December 27, 2022 7:38 AM"
petri dish,,"December 27, 2022 6:50 PM"
battery,,"December 27, 2022 6:51 PM"
wart,to make a guess or calculation that is completely wrong,"December 27, 2022 6:47 PM"
dwell on,"to continue to think about something, verb","December 27, 2022 6:52 PM"
harp,,"December 27, 2022 6:51 PM"
Legerdemain,"Sleight of hand, noun","January 24, 2023 8:20 PM"
sleight of hand,"Similar: legerdemain (one word), noun, perfomance of a clever executed trick","January 24, 2023 8:18 PM"
slight,"Insult, Trivial, weak","January 23, 2023 8:57 PM"
throng,"synonym: crowd, synonym: mass","January 24, 2023 8:07 PM"
gloom,,"September 19, 2023 8:18 AM"
gloomy,,"January 24, 2023 8:11 PM"
gloomy,"Similar: desperate dark, adjective","January 24, 2023 8:12 PM"
slant,Simliar: skew,"January 24, 2023 8:11 PM"
fixation,,"January 24, 2023 8:17 PM"
fetish,,"January 24, 2023 8:17 PM"
mend,"fix, mend : sewing :: edit : manuscript, repair, verb","January 24, 2023 8:34 PM"
delude,,"January 24, 2023 8:43 PM"
shaky,,"January 30, 2023 7:44 AM"
cuddly,,"January 30, 2023 7:49 AM"
hoodie,,"January 30, 2023 7:53 AM"
comfy,,"January 30, 2023 7:53 AM"
send shivers down/up someone's spine,to make someone feel very thrilled frightened or excited,"January 31, 2023 8:20 AM"
frightened,,"January 31, 2023 8:21 AM"
capacious,ample,"February 1, 2023 8:34 AM"
brick-and-glass,,"February 1, 2023 8:35 AM"
bricks,,"February 1, 2023 8:35 AM"
twilight,,"February 1, 2023 8:37 AM"
